tahun,kabupaten/kota,kecamatan,jenis_pelayanan,jumlah
2020,Jakarta Timur,CAKUNG,Perceraian,0
2020,Jakarta Timur,DUREN SAWIT,Perceraian,0
2020,Jakarta Timur,MAKASAR,Perceraian,0
2020,Jakarta Timur,CIRACAS,Perceraian,0
2020,Jakarta Timur,CIPAYUNG,Perceraian,0
2020,Jakarta Pusat,GAMBIR,Perceraian,0
2020,Jakarta Pusat,SAWAH BESAR,Perceraian,0
2020,Jakarta Pusat,KEMAYORAN,Perceraian,0
2020,Jakarta Pusat,SENEN,Perceraian,0
2020,Jakarta Pusat,CEMPAKA PUTIH,Perceraian,0
2020,Jakarta Pusat,MENTENG,Perceraian,0
2020,Jakarta Pusat,TANAH ABANG,Perceraian,0
2020,Jakarta Pusat,JOHAR BARU,Perceraian,0
2020,Jakarta Barat,CENGKARENG,Perceraian,0
2020,Jakarta Barat,GROGOL PETAMBURAN,Perceraian,0
2020,Jakarta Barat,TAMAN SARI,Perceraian,0
2020,Jakarta Barat,TAMBORA,Perceraian,0
2020,Jakarta Barat,KEBON JERUK,Perceraian,0
2020,Jakarta Barat,KALI DERES,Perceraian,0
2020,Jakarta Barat,PALMERAH,Perceraian,0
2020,Jakarta Barat,KEMBANGAN,Perceraian,0
2020,Jakarta Utara,PENJARINGAN,Perceraian,0
2020,Jakarta Utara,TANJUNG PRIOK,Perceraian,0
2020,Jakarta Utara,KOJA,Perceraian,0
2020,Jakarta Utara,CILINCING,Perceraian,0
2020,Jakarta Utara,PADEMANGAN,Perceraian,0
2020,Jakarta Utara,KELAPA GADING,Perceraian,0
2020,Kepulauan Seribu,KEP. SERIBU UTR,Pengesahan Anak,0
2020,Kepulauan Seribu,KEP. SERIBU SLT,Pengesahan Anak,0
2020,Jakarta Selatan,TEBET,Pengesahan Anak,0
2020,Jakarta Selatan,SETIA BUDI,Pengesahan Anak,0
2020,Jakarta Selatan,MAMPANG PRAPATAN,Pengesahan Anak,0
2020,Jakarta Selatan,PASAR MINGGU,Pengesahan Anak,0
2020,Jakarta Selatan,KEBAYORAN LAMA,Pengesahan Anak,0
2020,Jakarta Selatan,CILANDAK,Pengesahan Anak,0
2020,Jakarta Selatan,KEBAYORAN BARU,Pengesahan Anak,0
2020,Jakarta Selatan,PANCORAN,Pengesahan Anak,0
2020,Jakarta Selatan,JAGAKARSA,Pengesahan Anak,0
2020,Jakarta Selatan,PESANGGRAHAN,Pengesahan Anak,0
2020,Jakarta Timur,MATRAMAN,Pengesahan Anak,0
2020,Jakarta Timur,PULO GADUNG,Pengesahan Anak,0
2020,Jakarta Timur,JATINEGARA,Pengesahan Anak,0
2020,Jakarta Timur,KRAMAT JATI,Pengesahan Anak,0
2020,Jakarta Timur,PASAR REBO,Pengesahan Anak,0
2020,Jakarta Timur,CAKUNG,Pengesahan Anak,0
2020,Jakarta Timur,DUREN SAWIT,Pengesahan Anak,0
2020,Jakarta Timur,MAKASAR,Pengesahan Anak,0
2020,Jakarta Timur,CIRACAS,Pengesahan Anak,0
2020,Jakarta Timur,CIPAYUNG,Pengesahan Anak,0
2020,Jakarta Pusat,GAMBIR,Pengesahan Anak,0
2020,Jakarta Pusat,SAWAH BESAR,Pengesahan Anak,0
2020,Jakarta Pusat,KEMAYORAN,Pengesahan Anak,0
2020,Jakarta Pusat,SENEN,Pengesahan Anak,0
2020,Jakarta Pusat,CEMPAKA PUTIH,Pengesahan Anak,0
2020,Jakarta Pusat,MENTENG,Pengesahan Anak,0
2020,Jakarta Pusat,TANAH ABANG,Pengesahan Anak,0
2020,Jakarta Pusat,JOHAR BARU,Pengesahan Anak,0
2020,Jakarta Barat,CENGKARENG,Pengesahan Anak,0
2020,Jakarta Barat,GROGOL PETAMBURAN,Pengesahan Anak,0
2020,Jakarta Barat,TAMAN SARI,Pengesahan Anak,0
2020,Jakarta Barat,TAMBORA,Pengesahan Anak,0
2020,Jakarta Barat,KEBON JERUK,Pengesahan Anak,0
2020,Jakarta Barat,KALI DERES,Pengesahan Anak,0
2020,Jakarta Barat,PALMERAH,Pengesahan Anak,0
2020,Jakarta Barat,KEMBANGAN,Pengesahan Anak,0
2020,Jakarta Utara,PENJARINGAN,Pengesahan Anak,0
2020,Jakarta Utara,TANJUNG PRIOK,Pengesahan Anak,0
2020,Jakarta Utara,KOJA,Pengesahan Anak,0
2020,Jakarta Utara,CILINCING,Pengesahan Anak,0
2020,Jakarta Utara,PADEMANGAN,Pengesahan Anak,0
2020,Jakarta Utara,KELAPA GADING,Pengesahan Anak,0
